"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 24 17:17:56 GMT 2024","Tue Sep 24 17:17:58 GMT 2024","1320","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Tue Sep 24 17:18:00 GMT 2024","Tue Sep 24 17:18:01 GMT 2024","1069","test","test_hootel","TestHootel","","","test_hotel_list",""
